date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:03	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	http://appchedrauigecko.gecko-solutions.com/robots.txt		(from )
22:32:04	8071/8071	---M-Z	200	added ('OK')	text/html	etag:%221f87-61a6cced-b5e08a5ec0dba14a;gz%22	http://appchedrauigecko.gecko-solutions.com/	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/index.html	(from )
22:32:04	10589/10589	---M-Z	200	added ('OK')	text/css	etag:%22295d-61a6cced-7c7e04922ce6af48;gz%22	http://appchedrauigecko.gecko-solutions.com/styles.css	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/styles.css	(from http://appchedrauigecko.gecko-solutions.com/)
22:32:05	58935/58935	---MCZ	200	added ('OK')	text/css	etag:W/%2284d8ad2b4fcdc0f0c58247e778133b3a%22	https://use.fontawesome.com/releases/v5.14.0/css/all.css	D:/Web/httrack-clone-websites/wine-bottle/use.fontawesome.com/releases/v5.14.0/css/all.css	(from http://appchedrauigecko.gecko-solutions.com/)
22:32:06	11492/11492	---MCZ	200	added ('OK')	application/javascript	etag:%222ce4-2ewPLPMVPNFr2iN++9LDV+t1/9s%22	https://unpkg.com/focus-visible@5.0.2/dist/focus-visible.js	D:/Web/httrack-clone-websites/wine-bottle/unpkg.com/focus-visible@5.0.2/dist/focus-visible.js	(from http://appchedrauigecko.gecko-solutions.com/)
22:32:06	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	D:/Web/httrack-clone-websites/wine-bottle/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from http://appchedrauigecko.gecko-solutions.com/)
22:32:11	11789/11789	---M--	200	added ('OK')	image/png	etag:%222e0d-61a6ccc9-ec759792e2edf831;;;%22	http://appchedrauigecko.gecko-solutions.com/imagenes/beef.png	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/imagenes/beef.png	(from http://appchedrauigecko.gecko-solutions.com/)
22:32:12	9114/9114	---M--	200	added ('OK')	image/png	etag:%22239a-61a6ccc9-8a68f2b5b7c83387;;;%22	http://appchedrauigecko.gecko-solutions.com/imagenes/donper.png	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/imagenes/donper.png	(from http://appchedrauigecko.gecko-solutions.com/)
22:32:16	21161/21161	---M--	200	added ('OK')	image/png	etag:%2252a9-61a6ccc9-29dee47925f01efb;;;%22	http://appchedrauigecko.gecko-solutions.com/imagenes/walker.png	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/imagenes/walker.png	(from http://appchedrauigecko.gecko-solutions.com/)
22:33:31	461749/461749	---M--	200	added ('OK')	video/mp4	etag:%2270bb5-61a6ccca-5cbd9933dffb94ce;;;%22	http://appchedrauigecko.gecko-solutions.com/videos/video36.mp4	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/videos/video36.mp4	(from http://appchedrauigecko.gecko-solutions.com/)
22:34:45	1010176/1010176	---M--	200	added ('OK')	video/mp4	etag:%22f6a00-61a6cced-4c2fc3f83e3faf2a;;;%22	http://appchedrauigecko.gecko-solutions.com/videos/videonav.mp4	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/videos/videonav.mp4	(from http://appchedrauigecko.gecko-solutions.com/)
22:34:45	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	http://appchedrauigecko.gecko-solutions.com/transparent	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/transparent.c.delayed	(from http://appchedrauigecko.gecko-solutions.com/)
22:34:46	77/77	---MCZ	302	error ('Found')	text/plain	date:Wed,%2001%20Dec%202021%2017:34:46%20GMT	https://unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js	D:/Web/httrack-clone-websites/wine-bottle/unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.d.delayed	(from http://appchedrauigecko.gecko-solutions.com/)
22:35:08	361069/361069	---MCZ	200	added ('OK')	application/javascript	etag:%225826d-RHLKFopua6SqGf+OYnyIlmWlTDw%22	https://unpkg.com/@lottiefiles/lottie-player@1.5.1/dist/lottie-player.js	D:/Web/httrack-clone-websites/wine-bottle/unpkg.com/@lottiefiles/lottie-player@1.5.1/dist/lottie-player.js	(from http://appchedrauigecko.gecko-solutions.com/)
22:35:12	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	D:/Web/httrack-clone-websites/wine-bottle/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from http://appchedrauigecko.gecko-solutions.com/)
22:35:13	513/513	---M-Z	200	added ('OK')	application/x-javascript	etag:%22201-61a6cced-57c2e2230d46f9c7;gz%22	http://appchedrauigecko.gecko-solutions.com/app.js	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/app.js	(from http://appchedrauigecko.gecko-solutions.com/)
22:35:14	74/74	---MCZ	302	error ('Found')	text/plain	date:Wed,%2001%20Dec%202021%2017:35:14%20GMT	https://unpkg.com/@google/model-viewer/dist/model-viewer.min.js	D:/Web/httrack-clone-websites/wine-bottle/unpkg.com/@google/model-viewer/dist/model-viewer.min.11.delayed	(from http://appchedrauigecko.gecko-solutions.com/)
22:36:04	849366/849366	---MCZ	200	added ('OK')	application/javascript	etag:%22cf5d6-r2el2RY+GZNOl2kIOlQngWxUplE%22	https://unpkg.com/@google/model-viewer@1.9.2/dist/model-viewer.min.js	D:/Web/httrack-clone-websites/wine-bottle/unpkg.com/@google/model-viewer@1.9.2/dist/model-viewer.min.js	(from http://appchedrauigecko.gecko-solutions.com/)
22:36:37	1286900/1286900	---MCZ	200	added ('OK')	text/plain	etag:%2213a2f4-61a6ccc9-98b97dec8f7d12de;gz%22	http://appchedrauigecko.gecko-solutions.com/object3d/laptop3.glb	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/object3d/laptop3.glb	(from http://appchedrauigecko.gecko-solutions.com/)
22:40:24	4560816/4560816	---MCZ	200	added ('OK')	text/plain	etag:%224597b0-61a6ccca-d7e12ae96c01ec20;gz%22	http://appchedrauigecko.gecko-solutions.com/object3d/vino5.glb	D:/Web/httrack-clone-websites/wine-bottle/appchedrauigecko.gecko-solutions.com/object3d/vino5.glb	(from http://appchedrauigecko.gecko-solutions.com/)
